"Secteur","Libelle","CheminDepot","Url"
"Agriculture_AGRI","AGRI-EQ-101 vA14-1 : Module d’intégration de température installé sur un ordinateur climatique PDF – 107.35 Ko","Agriculture_AGRI/AGRI-EQ-101 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-101%20vA14-1.pdf"
"Agriculture_AGRI","AGRI-EQ-101 vA14-1 - Partie A PDF – 100.52 Ko","Agriculture_AGRI/AGRI-EQ-101 vA14-1 - Partie A.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-101%20vA14-1%20-%20Partie%20A.pdf"
"Agriculture_AGRI","AGRI-EQ-101 vA14-1 - Partie A à compter du 01-07-2026 PDF – 104.22 Ko","Agriculture_AGRI/AGRI-EQ-101 vA14-1 - Partie A à compter du 01-07-2026.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-101%20vA14-1%20-%20Partie%20A%20%C3%A0%20compter%20du%2001-07-2026.pdf"
"Agriculture_AGRI","AGRI-EQ-102 vA65-2 à compter du 01-04-2025 : Double écran thermique PDF – 110.75 Ko","Agriculture_AGRI/AGRI-EQ-102 vA65-2 à compter du 01-04-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-102%20vA65-2%20%C3%A0%20compter%20du%2001-04-2025_0.pdf"
"Agriculture_AGRI","AGRI-EQ-102 vA65-2 à compter du 01-04-2025 - Partie A PDF – 103.18 Ko","Agriculture_AGRI/AGRI-EQ-102 vA65-2 à compter du 01-04-2025 - Partie A.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-102%20vA65-2%20%C3%A0%20compter%20du%2001-04-2025%20-%20Partie%20A.pdf"
"Agriculture_AGRI","AGRI-EQ-102 vA65-2 à compter du 01-04-2025 - Partie A à compter du 01-07-2026 PDF – 106.06 Ko","Agriculture_AGRI/AGRI-EQ-102 vA65-2 à compter du 01-04-2025 - Partie A à compter du 01-07-2026.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-102%20vA65-2%20%C3%A0%20compter%20du%2001-04-2025%20-%20Partie%20A%20%C3%A0%20compter%20du%2001-07-2026.pdf"
"Agriculture_AGRI","AGRI-EQ-104 vA62-2 à compter du 01-01-2025 : Ecrans thermiques latéraux PDF – 112.43 Ko","Agriculture_AGRI/AGRI-EQ-104 vA62-2 à compter du 01-01-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-104%20vA62-2%20%C3%A0%20compter%20du%2001-01-2025_0.pdf"
"Agriculture_AGRI","AGRI-EQ-104 vA62-2 à compter du 01-01-2025 - Partie A PDF – 101.81 Ko","Agriculture_AGRI/AGRI-EQ-104 vA62-2 à compter du 01-01-2025 - Partie A.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-104%20vA62-2%20%C3%A0%20compter%20du%2001-01-2025%20-%20Partie%20A.pdf"
"Agriculture_AGRI","AGRI-EQ-104 vA62-2 à compter du 01-01-2025 - Partie A à compter du 01-07-2026 PDF – 105.3 Ko","Agriculture_AGRI/AGRI-EQ-104 vA62-2 à compter du 01-01-2025 - Partie A à compter du 01-07-2026.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-104%20vA62-2%20%C3%A0%20compter%20du%2001-01-2025%20-%20Partie%20A%20%C3%A0%20compter%20du%2001-07-2026.pdf"
"Agriculture_AGRI","AGRI-EQ-105 vA28-1 à compter du 19-12-2018 : Stop & Start pour véhicules agricoles à moteur PDF – 115.65 Ko","Agriculture_AGRI/AGRI-EQ-105 vA28-1 à compter du 19-12-2018.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-105%20vA28-1%20%C3%A0%20compter%20du%2019-12-2018.pdf"
