"Secteur","Code","LibellePrincipal","CheminDepot","Url","DocumentsAssocies"
"Agriculture_AGRI","AGRI-EQ-101","AGRI-EQ-101 vA14-1 : Module d’intégration de température installé sur un ordinateur climatique PDF – 107.35 Ko","Agriculture_AGRI/AGRI-EQ-101 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-101%20vA14-1.pdf","3"
"Agriculture_AGRI","AGRI-EQ-102","AGRI-EQ-102 vA65-2 à compter du 01-04-2025 : Double écran thermique PDF – 110.75 Ko","Agriculture_AGRI/AGRI-EQ-102 vA65-2 à compter du 01-04-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-102%20vA65-2%20%C3%A0%20compter%20du%2001-04-2025_0.pdf","3"
"Agriculture_AGRI","AGRI-EQ-104","AGRI-EQ-104 vA62-2 à compter du 01-01-2025 : Ecrans thermiques latéraux PDF – 112.43 Ko","Agriculture_AGRI/AGRI-EQ-104 vA62-2 à compter du 01-01-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-104%20vA62-2%20%C3%A0%20compter%20du%2001-01-2025_0.pdf","3"
"Agriculture_AGRI","AGRI-EQ-105","AGRI-EQ-105 vA28-1 à compter du 19-12-2018 : Stop & Start pour véhicules agricoles à moteur PDF – 115.65 Ko","Agriculture_AGRI/AGRI-EQ-105 vA28-1 à compter du 19-12-2018.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-105%20vA28-1%20%C3%A0%20compter%20du%2019-12-2018.pdf","5"
"Agriculture_AGRI","AGRI-EQ-106","AGRI-EQ-106 vA32-1 : Régulation de la ventilation des silos et des installations de stockage en vrac de céréales PDF – 123.51 Ko","Agriculture_AGRI/AGRI-EQ-106 vA32-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-106%20vA32-1.pdf","3"
"Agriculture_AGRI","AGRI-EQ-107","AGRI-EQ-107 vA38-1 à compter du 31-07-2021 : Isolation des parois de serre PDF – 130.41 Ko","Agriculture_AGRI/AGRI-EQ-107 vA38-1 à compter du 31-07-2021.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-107%20vA38-1%20%C3%A0%20compter%20du%2031-07-2021.pdf","1"
"Agriculture_AGRI","AGRI-EQ-108","AGRI-EQ-108 vA58-2 à compter du 01-02-2024 : Stockage d’eau pour une serre bioclimatique PDF – 122.17 Ko","Agriculture_AGRI/AGRI-EQ-108 vA58-2 à compter du 01-02-2024_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-108%20vA58-2%20%C3%A0%20compter%20du%2001-02-2024_0.pdf","3"
"Agriculture_AGRI","AGRI-EQ-109","AGRI-EQ-109 vA58-2 à compter du 01-02-2024 : Couverture performante de serre PDF – 123.29 Ko","Agriculture_AGRI/AGRI-EQ-109 vA58-2 à compter du 01-02-2024_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-109%20vA58-2%20%C3%A0%20compter%20du%2001-02-2024_0.pdf","3"
"Agriculture_AGRI","AGRI-EQ-110","AGRI-EQ-110 vA38-1 à compter du 31-07-2021 : Séchage solaire par insufflation des produits et co-produits agricoles et forestiers utilisant des panneaux solaires hybrides PDF – 129.54 Ko","Agriculture_AGRI/AGRI-EQ-110 vA38-1 à compter du 31-07-2021.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-110%20vA38-1%20%C3%A0%20compter%20du%2031-07-2021.pdf","3"
"Agriculture_AGRI","AGRI-EQ-111","AGRI-EQ-111 vA62-1 à compter du 31-08-2024 : Simple écran thermique PDF – 122.65 Ko","Agriculture_AGRI/AGRI-EQ-111 vA62-1 à compter du 31-08-2024_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-111%20vA62-1%20%C3%A0%20compter%20du%2031-08-2024_0.pdf","3"
"Agriculture_AGRI","AGRI-EQ-112","AGRI-EQ-112 vA73-3 à compter du 01-09-2025 : Double paroi gonflable PDF – 115.38 Ko","Agriculture_AGRI/AGRI-EQ-112 vA73-3 à compter du 01-09-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-EQ-112%20vA73-3%20%C3%A0%20compter%20du%2001-09-2025_0.pdf","3"
"Agriculture_AGRI","AGRI-SE-101","AGRI-SE-101 vA40-2 à compter du 01-04-2022 : Contrôle et préconisations de réglage du moteur d’un tracteur PDF – 115.42 Ko","Agriculture_AGRI/AGRI-SE-101 vA40-2 à compter du 01-04-2022_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-SE-101%20vA40-2%20%C3%A0%20compter%20du%2001-04-2022_0.pdf","5"
"Agriculture_AGRI","AGRI-TH-101","AGRI-TH-101 vA62-2 à compter du 01-01-2025 : Dispositif de stockage d’eau chaude de type « Open Buffer » PDF – 124.06 Ko","Agriculture_AGRI/AGRI-TH-101 vA62-2 à compter du 01-01-2025.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-101%20vA62-2%20%C3%A0%20compter%20du%2001-01-2025.pdf","3"
"Agriculture_AGRI","AGRI-TH-102","AGRI-TH-102 vA14-1 : Dispositif de stockage d’eau chaude PDF – 104.36 Ko","Agriculture_AGRI/AGRI-TH-102 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-102%20vA14-1.pdf","3"
"Agriculture_AGRI","AGRI-TH-103","AGRI-TH-103 vA15-1 : Pré-refroidisseur de lait PDF – 111.58 Ko","Agriculture_AGRI/AGRI-TH-103 vA15-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-103%20vA15-1.pdf","3"
"Agriculture_AGRI","AGRI-TH-104","AGRI-TH-104 vA35-3 à compter du 01-10-2020 : Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait PDF – 146.66 Ko","Agriculture_AGRI/AGRI-TH-104 vA35-3 à compter du 01-10-2020.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-104%20vA35-3%20%C3%A0%20compter%20du%2001-10-2020.pdf","3"
"Agriculture_AGRI","AGRI-TH-105","AGRI-TH-105 vA16-1 : Récupérateur de chaleur sur tank à lait PDF – 110.02 Ko","Agriculture_AGRI/AGRI-TH-105 vA16-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-105%20vA16-1.pdf","3"
"Agriculture_AGRI","AGRI-TH-108","AGRI-TH-108 vA35-2 à compter du 01-10-2020 : Pompe à chaleur de type air/eau ou eau/eau PDF – 132.25 Ko","Agriculture_AGRI/AGRI-TH-108 vA35-2 à compter du 01-10-2020.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-108%20vA35-2%20%C3%A0%20compter%20du%2001-10-2020.pdf","3"
"Agriculture_AGRI","AGRI-TH-109","AGRI-TH-109 vA54-2 à compter du 01-01-2024 : Récupérateur de chaleur à condensation pour serres horticoles PDF – 114.62 Ko","Agriculture_AGRI/AGRI-TH-109 vA54-2 à compter du 01-01-2024_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-109%20vA54-2%20%C3%A0%20compter%20du%2001-01-2024_0.pdf","3"
"Agriculture_AGRI","AGRI-TH-110","AGRI-TH-110 vA54-3 à compter du 01-01-2024 : Chaudière à haute performance énergétique pour serres horticoles PDF – 119.87 Ko","Agriculture_AGRI/AGRI-TH-110 vA54-3 à compter du 01-01-2024_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-110%20vA54-3%20%C3%A0%20compter%20du%2001-01-2024_0.pdf","3"
"Agriculture_AGRI","AGRI-TH-113","AGRI-TH-113 vA14-1 : Échangeur récupérateur de chaleur air/air dans un bâtiment d’élevage de volailles PDF – 116.49 Ko","Agriculture_AGRI/AGRI-TH-113 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-113%20vA14-1.pdf","4"
"Agriculture_AGRI","AGRI-TH-117","AGRI-TH-117 vA73-3 à compter du 01-09-2025 : Déshumidificateur thermodynamique pour serres PDF – 143.66 Ko","Agriculture_AGRI/AGRI-TH-117 vA73-3 à compter du 01-09-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-117%20vA73-3%20%C3%A0%20compter%20du%2001-09-2025_0.pdf","3"
"Agriculture_AGRI","AGRI-TH-118","AGRI-TH-118 vA14-1 - Partie A : Double tube de chauffage pour serres PDF – 103.91 Ko","Agriculture_AGRI/AGRI-TH-118 vA14-1 - Partie A.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-118%20vA14-1%20-%20Partie%20A.pdf","3"
"Agriculture_AGRI","AGRI-TH-119","AGRI-TH-119 vA65-2 à compter du 01-04-2025 : Système de déshumidification avec air extérieur PDF – 121.31 Ko","Agriculture_AGRI/AGRI-TH-119 vA65-2 à compter du 01-04-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-TH-119%20vA65-2%20%C3%A0%20compter%20du%2001-04-2025_0.pdf","3"
"Agriculture_AGRI","AGRI-UT-101","AGRI-UT-101 vA24-2 après le 01-04-2017 : Moto-variateur synchrone à aimants permanents ou à reluctance PDF – 127.74 Ko","Agriculture_AGRI/AGRI-UT-101 vA24-2 après le 01-04-2017.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-UT-101%20vA24-2%20apr%C3%A8s%20le%2001-04-2017.pdf","3"
"Agriculture_AGRI","AGRI-UT-102","AGRI-UT-102 vA22-2 : Système de variation électronique de vitesse sur un moteur asynchrone PDF – 120.25 Ko","Agriculture_AGRI/AGRI-UT-102 vA22-2.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-UT-102%20vA22-2.pdf","3"
"Agriculture_AGRI","AGRI-UT-103","AGRI-UT-103 vA19-1 : Système de régulation sur un groupe de production de froid permettant d’avoir une basse pression flottante PDF – 107.22 Ko","Agriculture_AGRI/AGRI-UT-103 vA19-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-UT-103%20vA19-1.pdf","3"
"Agriculture_AGRI","AGRI-UT-104","AGRI-UT-104 vA23-1 : Système de régulation sur un groupe de production de froid permettant d’avoir une haute pression flottante PDF – 147.21 Ko","Agriculture_AGRI/AGRI-UT-104 vA23-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/AGRI-UT-104%20vA23-1.pdf","3"
"Industrie_IND","IND-BA-110","IND-BA-110 vA71-4 à compter du 01-08-2025 : Déstratificateur ou brasseur d'air PDF – 130.22 Ko","Industrie_IND/IND-BA-110 vA71-4 à compter du 01-08-2025.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-BA-110%20vA71-4%20%C3%A0%20compter%20du%2001-08-2025.pdf","3"
"Industrie_IND","IND-BA-113","IND-BA-113 vA26-1 : Lanterneaux d’éclairage zénithal (France Métropolitaine) PDF – 120.51 Ko","Industrie_IND/IND-BA-113 vA26-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-BA-113%20vA26-1.pdf","3"
"Industrie_IND","IND-BA-114","IND-BA-114 vA15-1 : Conduits de lumière naturelle PDF – 110.31 Ko","Industrie_IND/IND-BA-114 vA15-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-BA-114%20vA15-1.pdf","3"
"Industrie_IND","IND-BA-117","IND-BA-117 vA27-1 : Chauffage décentralisé performant PDF – 128.56 Ko","Industrie_IND/IND-BA-117 vA27-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-BA-117%20vA27-1.pdf","3"
"Industrie_IND","IND-EN-101","IND-EN-101 vA23-1 : Isolation des murs (France d’outre-mer) PDF – 107.6 Ko","Industrie_IND/IND-EN-101 vA23-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-EN-101%20vA23-1.pdf","3"
"Industrie_IND","IND-EN-102","IND-EN-102 vA64-3 à compter du 01-01-2025 : Isolation de combles ou de toitures (France d’outre-mer) PDF – 118.43 Ko","Industrie_IND/IND-EN-102 vA64-3 à compter du 01-01-2025_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-EN-102%20vA64-3%20%C3%A0%20compter%20du%2001-01-2025_0.pdf","3"
"Industrie_IND","IND-UT-102","IND-UT-102 vA19-2 : Système de variation électronique de vitesse sur un moteur asynchrone PDF – 112.56 Ko","Industrie_IND/IND-UT-102 vA19-2_0.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-UT-102%20vA19-2_0.pdf","3"
"Industrie_IND","IND-UT-103","IND-UT-103 vA17-2 : Système de récupération de chaleur sur un compresseur d’air PDF – 119.51 Ko","Industrie_IND/IND-UT-103 vA17-2.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-UT-103%20vA17-2.pdf","3"
"Industrie_IND","IND-UT-104","IND-UT-104 vA14-1 : Économiseur sur les effluents gazeux d’une chaudière de production de vapeur PDF – 111.68 Ko","Industrie_IND/IND-UT-104 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-UT-104%20vA14-1.pdf","3"
"Industrie_IND","IND-UT-105","IND-UT-105 vA14-1 : Brûleur micromodulant sur chaudière industrielle PDF – 143.24 Ko","Industrie_IND/IND-UT-105 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-UT-105%20vA14-1.pdf","3"
"Industrie_IND","IND-UT-113","IND-UT-113 vA14-1 : Système de condensation frigorifique à haute efficacité PDF – 161.74 Ko","Industrie_IND/IND-UT-113 vA14-1.pdf","https://www.ecologie.gouv.fr/sites/default/files/documents/IND-UT-113%20vA14-1.pdf","3"
